model,step,score,reward,fires
Dueling Double DQN,25423,-54.0,-164.30198165689293,27
Dueling Double DQN,25652,-32.0,-142.2995022403884,26
Dueling Double DQN,25881,-52.0,-162.28216992001617,26
Dueling Double DQN,26110,-44.0,-154.29745294523352,22
Dueling Double DQN,26339,-50.0,-160.28325946971012,25
Dueling Double DQN,26568,-76.0,-186.29807002658987,38
Dueling Double DQN,26797,-52.0,-162.28417016098928,26
Dueling Double DQN,27026,-64.0,-174.1923652908256,32
Dueling Double DQN,27255,-58.0,-168.29406005100537,29
Dueling Double DQN,27484,-50.0,-160.29415242637694,25
Dueling Double DQN,27713,-30.0,-140.30312743106654,15
Dueling Double DQN,27942,-38.0,-148.29275005491786,19
Dueling Double DQN,28171,-62.0,-172.28298367092088,31
Dueling Double DQN,28400,-30.0,-140.2958201644349,25
Dueling Double DQN,28629,-50.0,-160.30224775581178,25
Dueling Double DQN,28858,-50.0,-160.29877992627894,25
Dueling Double DQN,29087,-36.0,-146.27632947349213,18
Dueling Double DQN,29316,-50.0,-160.27578108999884,25
Dueling Double DQN,29545,-60.0,-170.2985210520903,30
Dueling Double DQN,29774,-44.0,-154.30724513747447,22
Dueling Double DQN,30003,-28.0,-138.2950618276859,24
Dueling Double DQN,30232,-46.0,-156.3009227415513,23
Dueling Double DQN,30461,-60.0,-170.2895574512539,30
Dueling Double DQN,30690,-36.0,-146.28315420997708,18
Dueling Double DQN,30919,-44.0,-154.3090079354143,22
Dueling Double DQN,31148,-28.0,-138.2930927268698,14
Dueling Double DQN,31377,-22.0,-132.32050035275768,21
Dueling Double DQN,31606,-36.0,-146.30106480429478,18
Dueling Double DQN,31835,-44.0,-154.2959468191113,22
Dueling Double DQN,32064,-26.0,-136.28559877896373,13
Dueling Double DQN,32293,-8.0,-118.30340411764712,14
Dueling Double DQN,32522,-48.0,-158.29749652295553,24
Dueling Double DQN,32751,-50.0,-160.2891460230301,25
Dueling Double DQN,32980,-18.0,-128.30094089476958,19
Dueling Double DQN,33209,-50.0,-160.29618981822438,25
Dueling Double DQN,33438,-40.0,-150.29819143879737,20
Dueling Double DQN,33667,-24.0,-134.28248913094984,12
Dueling Double DQN,33896,-20.0,-130.28989422963548,20
Dueling Double DQN,34125,-42.0,-152.25516784083453,21
Dueling Double DQN,34354,-34.0,-144.29161135392587,27
Dueling Double DQN,34583,-36.0,-146.25646577027823,18
Dueling Double DQN,34812,-52.0,-162.30085730451975,26
Dueling Double DQN,35041,-42.0,-152.29955787921443,21
Dueling Double DQN,35270,-34.0,-144.3007275453915,27
Dueling Double DQN,35499,-44.0,-154.30304081250515,22
Dueling Double DQN,35728,-42.0,-152.27432752595863,21
Dueling Double DQN,35957,-62.0,-172.30685361726017,31
Dueling Double DQN,36186,-42.0,-152.2918322563158,21
Dueling Double DQN,36415,-24.0,-134.29664565762772,12
Dueling Double DQN,36644,-52.0,-162.298362666376,26
Dueling Double DQN,36873,-38.0,-148.29889042422516,19
Dueling Double DQN,37102,-42.0,-152.29904790126565,21
Dueling Double DQN,37331,-6.0,-116.29915093125487,13
Dueling Double DQN,37560,-36.0,-146.25932584382633,18
Dueling Double DQN,37789,-42.0,-152.08361102340075,21
Dueling Double DQN,38018,-42.0,-152.30129068939726,21
Dueling Double DQN,38247,-30.0,-140.30487264230703,25
Dueling Double DQN,38476,-16.0,-126.29613144520343,18
Dueling Double DQN,38705,-44.0,-154.294537471269,22
Dueling Double DQN,38934,-40.0,-150.29965684411232,20
Dueling Double DQN,39163,-32.0,-142.29091431524301,16
Dueling Double DQN,39392,-38.0,-148.26346710218587,19
Dueling Double DQN,39621,-44.0,-154.29261860231833,22
Dueling Double DQN,39850,-32.0,-142.28616066946662,16
Dueling Double DQN,40079,-26.0,-136.30194730762676,13
Dueling Double DQN,40308,-34.0,-144.29428712569745,17
Dueling Double DQN,40537,-32.0,-142.2975546329076,16
Dueling Double DQN,40766,-22.0,-132.29993191218992,11
Dueling Double DQN,40995,-32.0,-142.3034536691163,16
Dueling Double DQN,41224,-8.0,-118.28443161760661,14
Dueling Double DQN,41453,-26.0,-136.2757960784527,13
Dueling Double DQN,41682,-22.0,-132.29907459522903,11
Dueling Double DQN,41911,-30.0,-140.29986444141738,15
Dueling Double DQN,42140,-28.0,-138.30738429719986,14
Dueling Double DQN,42369,6.0,-104.30367457651984,17
Dueling Double DQN,42598,-36.0,-146.2727308557546,18
Dueling Double DQN,42827,-28.0,-138.28609174905978,24
Dueling Double DQN,43056,-24.0,-134.2924666142772,12
Dueling Double DQN,43285,-32.0,-142.31155259959405,16
Dueling Double DQN,43514,-14.0,-124.29779629264304,17
Dueling Double DQN,43743,-38.0,-148.3156321704366,19
Dueling Double DQN,43972,-24.0,-134.28981128024424,12
Dueling Double DQN,44201,-24.0,-134.27475217699313,12
Dueling Double DQN,44430,-32.0,-142.29966164207684,16
Dueling Double DQN,44659,-38.0,-148.31431296982953,19
Dueling Double DQN,44888,-22.0,-132.29266850212034,11
Dueling Double DQN,45117,-48.0,-158.27625552592502,24
Dueling Double DQN,45346,-16.0,-126.30210221961656,18
Dueling Double DQN,45575,-44.0,-154.286526701784,22
Dueling Double DQN,45804,-32.0,-142.30166442517233,16
Dueling Double DQN,46033,-20.0,-130.296369980881,10
Dueling Double DQN,46262,-6.0,-116.2858927167834,13
Dueling Double DQN,46491,-28.0,-138.29325175853842,14
Dueling Double DQN,46720,-28.0,-138.28296367281018,14
Dueling Double DQN,46949,-38.0,-148.3053639291648,19
Dueling Double DQN,47178,-38.0,-148.30482071212003,19
Dueling Double DQN,47407,-34.0,-144.28827850745589,17
Dueling Double DQN,47636,-12.0,-122.30288339448012,6
Dueling Double DQN,47865,-32.0,-142.30869902506998,16
Dueling Double DQN,48094,-24.0,-134.30047277389522,12
Dueling Double DQN,48323,-30.0,-140.293484628993,15
Dueling Double DQN,48552,-30.0,-140.30058060384457,15
Dueling Double DQN,48781,-22.0,-132.06812387548428,11
Dueling Double DQN,49010,-22.0,-132.28840351917242,11
Dueling Double DQN,49239,-28.0,-138.29167158792154,14
Dueling Double DQN,49468,-22.0,-132.2967603868923,11
Dueling Double DQN,49697,-30.0,-140.29822903983842,15
Dueling Double DQN,49926,-30.0,-140.27914733801745,15
Dueling Double DQN,50155,-22.0,-132.30324221145673,11
Dueling Double DQN,50384,-14.0,-124.301349689079,7
Dueling Double DQN,50613,-30.0,-140.2817097904564,15
Dueling Double DQN,50842,-4.0,-114.28435718118043,12
Dueling Double DQN,51071,-20.0,-130.27862289784235,10
Dueling Double DQN,51300,-24.0,-134.2636995584008,12
Dueling Double DQN,51529,-20.0,-130.29554441044573,10
Dueling Double DQN,51758,-18.0,-128.29486337449828,9
Dueling Double DQN,51987,-24.0,-134.2962912151534,12
Dueling Double DQN,52216,-12.0,-122.31058895131335,6
Dueling Double DQN,52445,-22.0,-132.28129719502576,11
Dueling Double DQN,52674,-16.0,-126.27941289368421,8
Dueling Double DQN,52903,-54.0,-164.3062578400252,27
Dueling Double DQN,53132,-30.0,-140.3097502550768,15
Dueling Double DQN,53361,-24.0,-134.30748673454812,12
Dueling Double DQN,53590,-24.0,-134.27476822337402,12
Dueling Double DQN,53819,-22.0,-132.30222490334626,11
Dueling Double DQN,54048,-24.0,-134.31124028054015,12
Dueling Double DQN,54277,-22.0,-132.29817255610624,11
Dueling Double DQN,54506,-20.0,-130.19769057394524,10
Dueling Double DQN,54735,-16.0,-126.29840686925449,8
Dueling Double DQN,54964,-4.0,-114.29814470233453,12
Dueling Double DQN,55193,-22.0,-132.2925706349221,11
Dueling Double DQN,55422,-28.0,-138.27754369353048,14
Dueling Double DQN,55651,-26.0,-136.29885641377368,13
Dueling Double DQN,55880,-28.0,-138.3048547406599,14
Dueling Double DQN,56109,-22.0,-132.2960142845028,11
Dueling Double DQN,56338,-20.0,-130.2878342593617,10
