model,step,score,reward,fires
Dueling Double DQN,229,-68.0,-178.28731975088195,34
Dueling Double DQN,458,-62.0,-171.666755043352,41
Dueling Double DQN,687,-74.0,-184.30675172074933,37
Dueling Double DQN,916,-68.0,-178.31065801066586,34
Dueling Double DQN,1145,-58.0,-168.28319646436915,39
Dueling Double DQN,1374,-64.0,-174.29228996819376,42
Dueling Double DQN,1603,-34.0,-144.32771606289958,37
Dueling Double DQN,1832,-90.0,-200.2854771257858,45
Dueling Double DQN,2061,-76.0,-186.30040413467097,48
Dueling Double DQN,2290,-72.0,-182.27492641505629,36
Dueling Double DQN,2519,-74.0,-184.2891496186997,37
Dueling Double DQN,2748,-80.0,-190.29876019894198,40
Dueling Double DQN,2977,-64.0,-174.30210255339694,32
Dueling Double DQN,3206,-76.0,-186.30182752929062,38
Dueling Double DQN,3435,-74.0,-184.3057112894022,37
Dueling Double DQN,3664,-80.0,-190.30635921045692,40
Dueling Double DQN,3893,-68.0,-178.29771932424512,34
Dueling Double DQN,4122,-60.0,-170.30958947289605,30
Dueling Double DQN,4351,-56.0,-166.30669242258296,28
Dueling Double DQN,4580,-52.0,-162.29685337008598,36
Dueling Double DQN,4809,-68.0,-178.2860689709625,34
Dueling Double DQN,5038,-72.0,-182.29021549592767,36
Dueling Double DQN,5267,-80.0,-190.30559843704611,40
Dueling Double DQN,5496,-72.0,-182.30374629584338,36
Dueling Double DQN,5725,-76.0,-186.29907436607436,48
Dueling Double DQN,5954,-56.0,-166.2993538370141,28
Dueling Double DQN,6183,-72.0,-182.29803779444794,36
Dueling Double DQN,6412,-72.0,-182.21158137966592,36
Dueling Double DQN,6641,-72.0,-182.30057635582926,36
Dueling Double DQN,6870,-74.0,-184.03294550526806,37
Dueling Double DQN,7099,-56.0,-166.29658208573073,38
Dueling Double DQN,7328,-46.0,-155.72627908360136,33
Dueling Double DQN,7557,-72.0,-182.30001343127168,36
Dueling Double DQN,7786,-54.0,-164.28500328991814,27
Dueling Double DQN,8015,-40.0,-150.29073156294618,30
Dueling Double DQN,8244,-40.0,-150.2951549791824,30
Dueling Double DQN,8473,-56.0,-166.28515162343638,38
Dueling Double DQN,8702,-36.0,-146.31940067079404,28
Dueling Double DQN,8931,-80.0,-190.17768948059924,40
Dueling Double DQN,9160,-68.0,-178.30231296770995,34
Dueling Double DQN,9389,-66.0,-176.31276319202735,33
Dueling Double DQN,9618,-62.0,-172.28376164983516,41
Dueling Double DQN,9847,-62.0,-172.2964987733974,31
Dueling Double DQN,10076,-64.0,-174.303435306786,42
Dueling Double DQN,10305,-56.0,-166.31545132472968,28
Dueling Double DQN,10534,-60.0,-170.3043510504589,30
Dueling Double DQN,10763,-62.0,-172.3213474324353,31
Dueling Double DQN,10992,-56.0,-166.28551827262407,28
Dueling Double DQN,11221,-58.0,-168.2713502679335,29
Dueling Double DQN,11450,-102.0,-212.28717365107877,51
Dueling Double DQN,11679,-78.0,-188.2752235546577,39
Dueling Double DQN,11908,-72.0,-182.31164238739206,36
Dueling Double DQN,12137,-78.0,-188.29918160133275,39
Dueling Double DQN,12366,-64.0,-174.29528189078084,32
Dueling Double DQN,12595,-58.0,-168.30933103944994,29
Dueling Double DQN,12824,-58.0,-168.3019179759173,29
Dueling Double DQN,13053,-52.0,-162.2876776614527,36
Dueling Double DQN,13282,-62.0,-172.29241558189904,31
Dueling Double DQN,13511,-48.0,-158.29501141014202,34
Dueling Double DQN,13742,-74.0,-184.32608792862783,37
Dueling Double DQN,13971,-72.0,-182.29672985734766,36
Dueling Double DQN,14200,-68.0,-178.29085461383147,44
Dueling Double DQN,14429,-84.0,-194.29047331196512,42
Dueling Double DQN,14658,-52.0,-162.24159904122365,36
Dueling Double DQN,14887,-86.0,-196.30440102011778,43
Dueling Double DQN,15116,-40.0,-150.31438555269258,30
Dueling Double DQN,15345,-48.0,-158.3127808377473,34
Dueling Double DQN,15574,-64.0,-174.29735621993558,32
Dueling Double DQN,15803,-42.0,-152.29048261223582,21
Dueling Double DQN,16032,-74.0,-184.29495945376843,37
Dueling Double DQN,16261,-60.0,-170.29336318607662,30
Dueling Double DQN,16490,-66.0,-176.31124636137815,33
Dueling Double DQN,16719,-66.0,-176.29058523377358,33
Dueling Double DQN,16948,-78.0,-188.29648813710645,39
Dueling Double DQN,17177,-78.0,-188.28752421174715,39
Dueling Double DQN,17406,-48.0,-158.2877312395214,34
Dueling Double DQN,17635,-46.0,-156.29968120706434,33
Dueling Double DQN,17864,-46.0,-156.28694613256928,33
Dueling Double DQN,18093,-40.0,-150.2834644350705,30
Dueling Double DQN,18322,-82.0,-192.303564906976,41
Dueling Double DQN,18551,-62.0,-172.28688637554802,31
Dueling Double DQN,18780,-54.0,-164.28732163163562,27
Dueling Double DQN,19009,-58.0,-168.30269664690746,29
Dueling Double DQN,19238,-60.0,-170.2980837124594,30
Dueling Double DQN,19467,-62.0,-172.296182873396,31
Dueling Double DQN,19696,-66.0,-176.2928713948082,33
Dueling Double DQN,19925,-56.0,-166.29849861150245,38
Dueling Double DQN,20154,-60.0,-170.30125482921832,30
Dueling Double DQN,20383,-64.0,-174.30063810239417,32
Dueling Double DQN,20612,-60.0,-170.2979341783652,30
Dueling Double DQN,20841,-60.0,-170.25733384737762,40
