episode,seed,score,passed_1500,fires,high_fire_modes,steps,original_reward_sum,shaped_reward_sum,reason
58,9057,848.0,False,0,2618,2637,676.0694772902375,1258.755756830301,CHARTREUSE vehicle reached the Hunter!
59,9058,1290.0,False,0,3253,3261,1158.263068402772,1913.564408582219,MAGENTA vehicle reached the Hunter!
60,9059,1692.0,True,0,3793,3834,1538.9468350760221,2581.8647009531824,LIME vehicle reached the Hunter!
61,9060,32.0,False,0,231,231,-78.16126671281893,-167.94220183340153,RED vehicle reached the Hunter!
62,9061,460.0,False,0,1387,1429,349.60696309649484,637.7456460436536,YELLOW vehicle reached the Hunter!
63,9062,1682.0,True,0,3827,3832,1531.471539994258,2595.518052078268,GOLD vehicle reached the Hunter!
64,9063,32.0,False,0,232,232,-78.11647893529886,-168.1657802210426,RED vehicle reached the Hunter!
65,9064,34.0,False,0,229,229,-76.03999456729836,-140.42567895259805,LIME vehicle reached the Hunter!
66,9065,34.0,False,0,229,229,-76.27355972188157,-164.40844026940508,LIME vehicle reached the Hunter!
67,9066,1600.0,True,0,3810,3829,1469.8934943234744,2491.652957137812,HOTPINK vehicle reached the Hunter!
68,9067,994.0,False,0,2620,2628,863.7254211002304,1549.1558197837785,TOMATO vehicle reached the Hunter!
69,9068,1658.0,True,0,3808,3828,1504.946813223144,2483.13956734398,HOTPINK vehicle reached the Hunter!
70,9069,2044.0,True,0,4331,4346,1865.5954545489888,2922.0373497192118,MAGENTA vehicle reached the Hunter!
71,9070,1658.0,True,0,3825,3828,1383.1663669708653,2419.8200761202297,GOLD vehicle reached the Hunter!
72,9071,952.0,False,0,2648,2648,819.3443930738194,1470.2340364043953,YELLOW vehicle reached the Hunter!
73,9072,52.0,False,0,230,230,-58.00747283815963,-122.21265557646379,RED vehicle reached the Hunter!
74,9073,34.0,False,0,235,235,-76.83301432882368,-166.91985240732248,CYAN vehicle reached the Hunter!
75,9074,786.0,False,0,2393,2439,635.7505208730985,1112.598975944548,CYAN vehicle reached the Hunter!
76,9075,1722.0,True,0,3800,3832,1548.6350115642067,2533.601802893595,CORAL vehicle reached the Hunter!
77,9076,16.0,False,0,229,229,-94.31158118608839,-198.78985567453748,RED vehicle reached the Hunter!
78,9077,1404.0,False,0,3203,3211,1293.73353955774,2091.7279811862068,YELLOW vehicle reached the Hunter!
79,9078,1134.0,False,0,3059,3075,967.0107483251553,1558.06061265068,RED vehicle reached the Hunter!
80,9079,966.0,False,0,2677,2689,815.7085308383756,1421.725015184764,LIME vehicle reached the Hunter!
81,9080,890.0,False,0,2612,2631,778.1072892214271,1337.1508249737262,CHARTREUSE vehicle reached the Hunter!
82,9081,1714.0,True,0,3812,3829,1561.9306722712695,2678.8112685466062,GOLD vehicle reached the Hunter!
83,9082,314.0,False,0,1119,1159,203.71021331539316,363.38093085994905,CYAN vehicle reached the Hunter!
84,9083,376.0,False,0,1409,1428,245.69029542819464,429.6145650948673,MAGENTA vehicle reached the Hunter!
85,9084,32.0,False,0,232,232,-78.05907247349654,-157.99415997311507,LIME vehicle reached the Hunter!
86,9085,518.0,False,0,1753,1753,407.9679621048257,686.6729933805728,CYAN vehicle reached the Hunter!
87,9086,50.0,False,0,236,236,-60.71179927256924,-142.8211705293975,ORANGE vehicle reached the Hunter!
88,9087,1670.0,True,0,3827,3831,1516.7029478768875,2448.9582346467664,HOTPINK vehicle reached the Hunter!
89,9088,1578.0,True,0,3798,3828,1424.9636296801725,2406.8649483494987,HOTPINK vehicle reached the Hunter!
90,9089,1022.0,False,0,2663,2672,911.7094381060982,1493.120723954719,ORANGE vehicle reached the Hunter!
91,9090,678.0,False,0,2081,2084,547.5533181049698,969.4535257675514,CYAN vehicle reached the Hunter!
92,9091,1640.0,True,0,3818,3828,1484.717095737847,2416.6915839628355,HOTPINK vehicle reached the Hunter!
93,9092,978.0,False,0,2650,2651,827.7583649372382,1469.0247226881374,MAGENTA vehicle reached the Hunter!
94,9093,376.0,False,0,1415,1428,265.79802262176213,449.238072484624,YELLOW vehicle reached the Hunter!
95,9094,16.0,False,0,229,229,-94.1216896448763,-193.11513840300162,ORANGE vehicle reached the Hunter!
96,9095,1704.0,True,0,3846,3864,1508.318483900784,2604.490479593042,MAGENTA vehicle reached the Hunter!
97,9096,1194.0,False,0,3047,3089,1079.9422026672912,1695.4491210928534,TOMATO vehicle reached the Hunter!
98,9097,360.0,False,0,1387,1436,246.8019046809946,402.3670124366539,CYAN vehicle reached the Hunter!
99,9098,974.0,False,0,2852,2872,837.6354428288927,1275.8960418317313,CHARTREUSE vehicle reached the Hunter!
100,9099,1764.0,True,0,3862,3876,1560.3276944648946,2588.616033359751,LIME vehicle reached the Hunter!
