model,step,score,reward,fires
Dueling Double DQN,25426,-24.0,-134.30942609548393,22
Dueling Double DQN,25655,-42.0,-152.28587596325445,21
Dueling Double DQN,25884,-44.0,-154.30178448472904,22
Dueling Double DQN,26113,-24.0,-134.29258664010544,22
Dueling Double DQN,26342,-20.0,-130.28349002949903,20
Dueling Double DQN,26571,-36.0,-146.30445612981833,18
Dueling Double DQN,26800,-18.0,-128.28965589494157,19
Dueling Double DQN,27029,-44.0,-154.2935578811223,22
Dueling Double DQN,27259,-12.0,-122.26501717293365,16
Dueling Double DQN,27488,-24.0,-134.30505264286492,22
Dueling Double DQN,27717,-36.0,-146.30188725740987,18
Dueling Double DQN,27946,-16.0,-126.29105815466684,18
Dueling Double DQN,28175,-46.0,-156.3211360679699,23
Dueling Double DQN,28404,-52.0,-162.28527152117704,36
Dueling Double DQN,28633,-42.0,-152.29425042792113,21
Dueling Double DQN,28862,-34.0,-144.3063585276863,17
Dueling Double DQN,29091,-44.0,-154.2633773958537,22
Dueling Double DQN,29320,-38.0,-148.2906211277037,19
Dueling Double DQN,29549,-26.0,-136.28582116670086,13
Dueling Double DQN,29778,-38.0,-148.2840182918326,19
Dueling Double DQN,30007,-16.0,-126.27722613826143,18
Dueling Double DQN,30236,-26.0,-136.3062360954051,23
Dueling Double DQN,30465,-38.0,-148.30408500751133,19
Dueling Double DQN,30694,-4.0,-114.28832769385605,12
Dueling Double DQN,30923,-42.0,-152.2966695443841,21
Dueling Double DQN,31152,-30.0,-140.30319427657406,15
Dueling Double DQN,31381,-36.0,-146.30345551376377,18
Dueling Double DQN,31610,-34.0,-144.2900104822357,17
Dueling Double DQN,31839,-52.0,-162.27559487810183,26
Dueling Double DQN,32068,-42.0,-152.30185766786826,21
Dueling Double DQN,32297,-24.0,-134.2814456013347,22
Dueling Double DQN,32526,-30.0,-140.31625357603437,15
Dueling Double DQN,32755,-32.0,-142.29258283721168,16
Dueling Double DQN,32984,-40.0,-150.30874810864356,20
Dueling Double DQN,33213,-36.0,-146.2933671073225,18
Dueling Double DQN,33442,-34.0,-144.30250474985536,17
Dueling Double DQN,33671,-10.0,-120.2940973501189,15
Dueling Double DQN,33900,-30.0,-140.29210867809917,15
Dueling Double DQN,34129,-20.0,-130.30502127116563,20
Dueling Double DQN,34358,4.0,-106.3043249580388,18
Dueling Double DQN,34587,-42.0,-152.30637754935714,21
Dueling Double DQN,34816,-12.0,-122.30163579689837,16
Dueling Double DQN,35045,-46.0,-156.29144345076483,23
Dueling Double DQN,35274,-12.0,-122.30189393427395,16
Dueling Double DQN,35503,-24.0,-134.28507000607587,12
Dueling Double DQN,35733,-6.0,-115.70621539223336,13
Dueling Double DQN,35962,-32.0,-141.67747980883814,16
Dueling Double DQN,36191,-32.0,-142.29089400970983,16
Dueling Double DQN,36420,-10.0,-120.30585617623044,15
Dueling Double DQN,36649,-12.0,-122.2925169791076,16
Dueling Double DQN,36878,-18.0,-128.2854512496001,9
Dueling Double DQN,37107,-4.0,-114.28150732814575,12
Dueling Double DQN,37336,-12.0,-122.29648299214479,16
Dueling Double DQN,37565,-32.0,-142.30349539635682,26
Dueling Double DQN,37794,-8.0,-118.30240898972102,14
Dueling Double DQN,38023,-24.0,-134.28309820546315,12
Dueling Double DQN,38252,-14.0,-124.30277967953592,17
Dueling Double DQN,38481,-20.0,-130.09012051442159,20
Dueling Double DQN,38710,-28.0,-138.2831300093021,14
Dueling Double DQN,38939,-6.0,-116.32226692780311,13
Dueling Double DQN,39168,-8.0,-118.28105066696573,14
Dueling Double DQN,39397,-24.0,-134.28056709208948,12
Dueling Double DQN,39626,6.0,-104.30769532747482,7
Dueling Double DQN,39855,18.0,-92.28545915913125,11
Dueling Double DQN,40084,-28.0,-138.30048233882013,14
Dueling Double DQN,40313,-2.0,-112.29980916127793,11
Dueling Double DQN,40542,-12.0,-122.30689630586551,16
Dueling Double DQN,40771,-34.0,-144.30330803513414,17
Dueling Double DQN,41000,-10.0,-120.30274272457784,15
Dueling Double DQN,41229,-20.0,-130.29592683945626,10
Dueling Double DQN,41458,-22.0,-132.29687074540513,11
Dueling Double DQN,41687,-20.0,-130.28909136520855,10
Dueling Double DQN,41916,-16.0,-126.26986247855562,8
Dueling Double DQN,42145,-30.0,-140.2923964971163,15
Dueling Double DQN,42374,-30.0,-140.2935467769772,15
Dueling Double DQN,42603,-28.0,-138.30793713219572,14
Dueling Double DQN,42832,-24.0,-134.29764921816036,12
Dueling Double DQN,43061,-22.0,-132.30141397116603,11
Dueling Double DQN,43290,-22.0,-132.2928858271768,11
Dueling Double DQN,43519,-18.0,-128.30622944880048,9
Dueling Double DQN,43748,-22.0,-132.27802576950205,11
Dueling Double DQN,43977,-12.0,-122.30141247810943,6
Dueling Double DQN,44206,-18.0,-128.30281889026196,9
Dueling Double DQN,44435,-10.0,-120.29770857752362,5
Dueling Double DQN,44664,-20.0,-129.95823715441466,10
Dueling Double DQN,44893,-2.0,-112.29968288264352,11
Dueling Double DQN,45122,-18.0,-128.28934755597783,9
Dueling Double DQN,45351,-16.0,-126.29149458101698,8
Dueling Double DQN,45580,-10.0,-120.30546099088896,15
Dueling Double DQN,45809,-22.0,-132.2901191447035,11
Dueling Double DQN,46038,-20.0,-130.29294287141778,10
Dueling Double DQN,46267,-14.0,-124.29996240443259,7
Dueling Double DQN,46496,-16.0,-126.30377562909437,8
Dueling Double DQN,46725,-8.0,-118.30322964555576,14
Dueling Double DQN,46954,-14.0,-124.28276480602977,7
Dueling Double DQN,47183,-14.0,-124.28834038615476,7
Dueling Double DQN,47412,14.0,-96.2873459700403,3
Dueling Double DQN,47641,6.0,-104.29038211114766,7
Dueling Double DQN,47870,28.0,-82.29732454704191,6
Dueling Double DQN,48099,-16.0,-126.28424788971869,8
Dueling Double DQN,48328,8.0,-102.28047993949262,6
Dueling Double DQN,48557,-10.0,-120.27331050543881,5
Dueling Double DQN,48786,-12.0,-122.28785008263522,6
Dueling Double DQN,49015,-12.0,-122.28330426789063,6
Dueling Double DQN,49244,-20.0,-130.30991811676785,10
Dueling Double DQN,49473,-10.0,-120.2825281289471,5
Dueling Double DQN,49702,-24.0,-134.29174841041458,12
Dueling Double DQN,49931,-10.0,-120.29281556560923,5
