model,step,score,reward,fires
Dueling Double DQN,229,-84.0,-194.28731975088198,42
Dueling Double DQN,458,-70.0,-180.2823324133518,35
Dueling Double DQN,687,-86.0,-196.2954427685983,43
Dueling Double DQN,916,-68.0,-178.29705256488623,34
Dueling Double DQN,1145,-38.0,-148.28173368139244,29
Dueling Double DQN,1374,-58.0,-168.2102867033537,39
Dueling Double DQN,1603,-66.0,-176.29005911231533,33
Dueling Double DQN,1832,-76.0,-186.30609290058499,38
Dueling Double DQN,2061,-80.0,-190.302966344872,40
Dueling Double DQN,2290,-62.0,-172.28409117328312,31
Dueling Double DQN,2519,-82.0,-192.2972223061486,51
Dueling Double DQN,2748,-78.0,-188.29158187776318,39
Dueling Double DQN,2977,-76.0,-186.28412847701387,38
Dueling Double DQN,3206,-70.0,-180.2850631937682,35
Dueling Double DQN,3435,-72.0,-182.30702599100937,36
Dueling Double DQN,3664,-78.0,-188.30445431251826,39
Dueling Double DQN,3893,-56.0,-166.29347871241032,38
Dueling Double DQN,4122,-84.0,-194.32181488930684,42
Dueling Double DQN,4351,-74.0,-184.29093017001662,37
Dueling Double DQN,4580,-86.0,-196.28598881335668,43
Dueling Double DQN,4809,-54.0,-164.3024018978317,37
Dueling Double DQN,5038,-66.0,-176.2865450604308,33
Dueling Double DQN,5267,-80.0,-190.30719576130974,40
Dueling Double DQN,5496,-90.0,-200.28436943464544,45
Dueling Double DQN,5725,-40.0,-150.30658053698284,30
Dueling Double DQN,5954,-70.0,-180.30175740167948,35
Dueling Double DQN,6183,-86.0,-196.09842363559204,43
Dueling Double DQN,6412,-70.0,-180.29249506279623,35
Dueling Double DQN,6641,-60.0,-170.26486603289365,40
Dueling Double DQN,6870,-90.0,-200.2956061278081,45
Dueling Double DQN,7099,-62.0,-172.30950076860614,31
Dueling Double DQN,7328,-50.0,-160.2750799001804,35
Dueling Double DQN,7557,-56.0,-166.30018744434636,28
Dueling Double DQN,7786,-56.0,-166.3029527470793,38
Dueling Double DQN,8015,-82.0,-192.2890573701119,41
Dueling Double DQN,8244,-64.0,-174.31060981611722,32
Dueling Double DQN,8473,-82.0,-192.3037673006188,41
Dueling Double DQN,8702,-66.0,-176.3175566061504,43
Dueling Double DQN,8931,-42.0,-152.29882877149163,31
Dueling Double DQN,9160,-80.0,-190.31756152955364,40
Dueling Double DQN,9389,-54.0,-164.2908573170046,27
Dueling Double DQN,9618,-56.0,-166.299208925301,38
Dueling Double DQN,9847,-48.0,-158.30246711263248,34
Dueling Double DQN,10076,-78.0,-188.28640496959912,39
Dueling Double DQN,10305,-70.0,-180.2994015101542,45
Dueling Double DQN,10534,-58.0,-168.29354044919924,39
Dueling Double DQN,10763,-54.0,-164.3115295287061,27
Dueling Double DQN,10992,-68.0,-178.29579131275923,34
Dueling Double DQN,11221,-54.0,-164.29674874971494,37
Dueling Double DQN,11450,-50.0,-160.27732822153172,35
Dueling Double DQN,11679,-72.0,-182.25797255682215,46
Dueling Double DQN,11908,-86.0,-196.3134373711,43
Dueling Double DQN,12137,-66.0,-176.2913966955716,33
Dueling Double DQN,12366,-64.0,-174.29828771659714,32
Dueling Double DQN,12595,-76.0,-186.27260297478352,38
Dueling Double DQN,12824,-48.0,-158.04142476672803,34
Dueling Double DQN,13053,-90.0,-200.29003166385195,45
Dueling Double DQN,13282,-78.0,-188.2802279342384,39
Dueling Double DQN,13511,-70.0,-180.29659350459238,35
Dueling Double DQN,13740,-62.0,-172.29738538525953,31
Dueling Double DQN,13969,-74.0,-184.15822462824866,37
Dueling Double DQN,14198,-62.0,-172.28215757236418,41
Dueling Double DQN,14427,-68.0,-178.29072472544595,34
Dueling Double DQN,14656,-68.0,-178.30553378839704,34
Dueling Double DQN,14885,-68.0,-178.30127351750284,34
Dueling Double DQN,15114,-84.0,-194.30786157839322,42
Dueling Double DQN,15343,-74.0,-184.3007481690904,37
Dueling Double DQN,15572,-78.0,-188.29092102207062,39
Dueling Double DQN,15801,-70.0,-180.29320476429268,35
Dueling Double DQN,16030,-40.0,-150.30158744986508,30
Dueling Double DQN,16259,-58.0,-168.2775724837337,29
Dueling Double DQN,16488,-46.0,-156.30959688303585,23
Dueling Double DQN,16717,-64.0,-174.28647912539842,42
Dueling Double DQN,16946,-96.0,-206.29154146830524,48
Dueling Double DQN,17175,-58.0,-168.29186806886065,29
Dueling Double DQN,17404,-66.0,-176.28544588607167,33
Dueling Double DQN,17633,-70.0,-180.29864526831017,35
Dueling Double DQN,17862,-62.0,-172.28118001187852,31
Dueling Double DQN,18091,-78.0,-188.28417392025688,39
Dueling Double DQN,18320,-88.0,-198.30084552212548,44
Dueling Double DQN,18549,-58.0,-168.2877837418107,29
Dueling Double DQN,18778,-68.0,-178.305244783917,34
Dueling Double DQN,19007,-74.0,-184.3160016790034,37
Dueling Double DQN,19236,-66.0,-176.30647608443195,33
Dueling Double DQN,19465,-82.0,-192.2937204676296,41
Dueling Double DQN,19694,-46.0,-156.3161920316303,23
Dueling Double DQN,19923,-78.0,-188.29242679386743,39
Dueling Double DQN,20152,-68.0,-178.30111329532272,34
Dueling Double DQN,20381,-66.0,-176.289044889026,43
Dueling Double DQN,20610,-66.0,-176.27821823979457,33
