model,timesteps,mean_score,max_score,min_score,mean_reward,mean_fires,mean_steps,mean_hit_rate,eval_episodes,action6_used
Dueling Double DQN,25000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,50000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,75000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,100000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,125000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,150000,-2.4,0.0,-12.0,-112.69348057798359,1.2,229.0,0.0,5,False
Dueling Double DQN,175000,-8.0,0.0,-18.0,-118.29348057798359,4.0,229.0,0.0,5,False
Dueling Double DQN,200000,0.0,12.0,-10.0,-110.29381358952541,2.0,229.0,0.05,5,False
Dueling Double DQN,225000,-9.6,0.0,-34.0,-119.89348057798358,4.8,229.0,0.0,5,False
Dueling Double DQN,250000,-12.8,0.0,-58.0,-123.09348057798358,6.4,229.0,0.0,5,False
Dueling Double DQN,275000,-42.0,0.0,-80.0,-152.2934805779836,21.0,229.0,0.0,5,False
Dueling Double DQN,300000,-75.6,-56.0,-116.0,-185.89348057798358,37.8,229.0,0.0,5,False
Dueling Double DQN,325000,-55.2,-20.0,-76.0,-165.49348057798358,27.6,229.0,0.0,5,False
Dueling Double DQN,350000,-57.6,-46.0,-70.0,-167.89348057798358,28.8,229.0,0.0,5,False
Dueling Double DQN,375000,-49.6,-20.0,-118.0,-159.89348057798358,24.8,229.0,0.0,5,False
Dueling Double DQN,400000,-24.0,-16.0,-34.0,-134.29348057798356,12.0,229.0,0.0,5,False
Dueling Double DQN,425000,-28.0,-10.0,-68.0,-138.2934805779836,14.0,229.0,0.0,5,False
Dueling Double DQN,450000,-5.2,-2.0,-14.0,-115.49348057798359,2.6,229.0,0.0,5,False
Dueling Double DQN,475000,-22.8,-20.0,-28.0,-133.09348057798357,11.4,229.0,0.0,5,False
Dueling Double DQN,500000,-22.8,-10.0,-32.0,-133.09348057798357,11.4,229.0,0.0,5,False
Dueling Double DQN,525000,-24.0,-2.0,-46.0,-134.29348057798356,12.0,229.0,0.0,5,False
Dueling Double DQN,550000,-55.2,-28.0,-94.0,-165.49348057798358,27.6,229.0,0.0,5,False
Dueling Double DQN,575000,-57.6,-24.0,-86.0,-167.88778659611344,30.8,229.0,0.0038461538461538464,5,False
Dueling Double DQN,600000,-35.6,-10.0,-60.0,-145.88630043035795,19.8,229.0,0.005263157894736842,5,False
Dueling Double DQN,625000,-45.2,-18.0,-76.0,-155.49348057798358,22.6,229.0,0.0,5,False
Dueling Double DQN,650000,-23.2,-14.0,-34.0,-133.45569776653218,13.6,229.0,0.011764705882352941,5,False
Dueling Double DQN,675000,-24.0,-12.0,-50.0,-134.29348057798356,12.0,229.0,0.0,5,False
Dueling Double DQN,700000,-4.4,0.0,-14.0,-114.69348057798359,2.2,229.0,0.0,5,False
Dueling Double DQN,725000,-17.6,0.0,-36.0,-127.89348057798357,8.8,229.0,0.0,5,False
Dueling Double DQN,750000,-18.4,6.0,-46.0,-128.69510571699723,11.2,229.0,0.02857142857142857,5,False
Dueling Double DQN,775000,-14.4,-10.0,-18.0,-124.69348057798356,7.2,229.0,0.0,5,False
Dueling Double DQN,800000,-8.8,2.0,-14.0,-119.09403183834283,6.4,229.0,0.02222222222222222,5,False
Dueling Double DQN,825000,-10.4,-2.0,-22.0,-120.69348057798359,5.2,229.0,0.0,5,False
Dueling Double DQN,850000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,875000,-1.6,0.0,-4.0,-111.89348057798358,0.8,229.0,0.0,5,False
Dueling Double DQN,900000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,925000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,950000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,975000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
Dueling Double DQN,1000000,0.0,0.0,0.0,-110.29348057798359,0.0,229.0,0.0,5,False
