model,step,score,reward,fires
Dueling Double DQN,25422,-74.0,-184.30435692767207,47
Dueling Double DQN,25651,-94.0,-204.29453217314764,47
Dueling Double DQN,25880,-82.0,-192.28776792208788,41
Dueling Double DQN,26109,-50.0,-160.29625765566587,35
Dueling Double DQN,26338,-86.0,-196.30266740851948,43
Dueling Double DQN,26567,-70.0,-180.29080122752066,35
Dueling Double DQN,26796,-76.0,-186.30023573736838,38
Dueling Double DQN,27025,-64.0,-174.29539391209033,32
Dueling Double DQN,27254,-60.0,-170.3083341243455,30
Dueling Double DQN,27484,-46.0,-156.15332716333293,33
Dueling Double DQN,27713,-78.0,-188.28948351903824,39
Dueling Double DQN,27942,-70.0,-180.29838790458186,35
Dueling Double DQN,28171,-74.0,-184.29505997235523,37
Dueling Double DQN,28400,-68.0,-178.29780275296696,34
Dueling Double DQN,28629,-90.0,-200.30946563795322,45
Dueling Double DQN,28858,-74.0,-184.2892125677958,37
Dueling Double DQN,29087,-82.0,-192.2975814383839,41
Dueling Double DQN,29316,-76.0,-186.30135000024205,38
Dueling Double DQN,29545,-44.0,-154.28417556212173,32
Dueling Double DQN,29774,-64.0,-174.3032090975588,32
Dueling Double DQN,30003,-90.0,-200.3057236508714,45
Dueling Double DQN,30232,-60.0,-170.2626727981225,30
Dueling Double DQN,30461,-58.0,-168.29370700822892,29
Dueling Double DQN,30690,-38.0,-148.30583356703414,29
Dueling Double DQN,30919,-66.0,-176.22864140169438,43
Dueling Double DQN,31148,-62.0,-172.29915017280945,41
Dueling Double DQN,31377,-68.0,-178.28853073802293,34
Dueling Double DQN,31606,-40.0,-150.29776612011298,30
Dueling Double DQN,31835,-72.0,-182.29546200084064,36
Dueling Double DQN,32064,-100.0,-210.28340986683415,50
Dueling Double DQN,32293,-58.0,-168.28331843081767,39
Dueling Double DQN,32522,-90.0,-200.30154667798314,45
Dueling Double DQN,32751,-64.0,-174.30724488165708,32
Dueling Double DQN,32980,-48.0,-158.29118542600582,34
Dueling Double DQN,33209,-56.0,-166.3084383981731,28
Dueling Double DQN,33438,-96.0,-206.29866892553974,48
Dueling Double DQN,33667,-72.0,-182.31339676843442,36
Dueling Double DQN,33896,-62.0,-172.26189344800562,31
Dueling Double DQN,34125,-68.0,-178.29154146165865,34
Dueling Double DQN,34354,-94.0,-204.2986922027855,47
Dueling Double DQN,34583,-64.0,-174.27938070634974,32
Dueling Double DQN,34812,-64.0,-174.29511871041933,32
Dueling Double DQN,35041,-44.0,-154.29720312164133,32
Dueling Double DQN,35270,-40.0,-150.29349471687883,30
Dueling Double DQN,35499,-78.0,-188.30712412787562,39
Dueling Double DQN,35728,-58.0,-168.29622074598745,29
Dueling Double DQN,35957,-76.0,-186.28431494281278,38
